sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,dataStatus,hasProductLink,productLink,titleEn,material,gsmOrThickness,applications
"KH-SP-ANTIS-300-AS-054","specialty-paper","specialty-paper-300g-pe-coating","representative","representative","kh-specialty-family-representative","pending-source","false","","Anti-scratch Paper","防刮花纸","300g","高端盒面纸、黑卡包装"
"KH-SP-SCENT-180-SC-055","specialty-paper","specialty-paper-180g-pe-coating","representative","representative","kh-specialty-family-representative","pending-source","false","","Scented Paper","留香纸","180g","香氛包装、试香卡"
"KH-SP-SPFLUTE-300G-MT-056","paper-insert","paper-insert-300g-g-pe-coating-g-flute","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Specialty Paper Laminated Corrugated Paper","特种纸 + 瓦楞芯纸","300g + G 坑","精品坑盒、内托、盒片"
"KH-BX-BURGERBOX-300-MC-001","food-packaging-box","food-packaging-box-250g-350g-greaseproof","representative","representative","kh-food-box-family-representative","pending-source","false","","Burger Box","食品级白卡 / 牛皮纸","250g-350g","汉堡、炸物、轻食"
"KH-BX-PIZZABOX-E-CR-002","corrugated-fluted-paper","corrugated-fluted-paper-e-f-flute","representative","representative","kh-corrugated-family-representative","pending-source","false","","Pizza Box","瓦楞纸 / 食品牛皮纸","E/F flute","披萨、烘焙食品"
"KH-BX-CAKEBOX-350-LM-003","food-packaging-box","food-packaging-box-300g-400g","representative","representative","kh-food-box-family-representative","pending-source","false","","Cake Box","食品白卡 / 特种纸","300g-400g","蛋糕、甜品、点心"
"KH-BX-SANDWBOX-300-PR-004","food-packaging-box","food-packaging-box-250g-350g","representative","representative","kh-food-box-family-representative","pending-source","false","","Sandwich Box","食品白卡 / 牛皮纸","250g-350g","三明治、卷饼、沙拉"
"KH-BX-TAKEOUT-320-PE-005","food-packaging-box","food-packaging-box-pe-300g-400g-pe-coating-pe","representative","representative","kh-food-box-family-representative","pending-source","false","","Takeaway Food Box","食品白卡 / 牛皮纸 + PE","300g-400g","热食、冷食、轻餐"
"KH-BX-CHICKEN-350-PR-006","food-packaging-box","food-packaging-box-300g-400g-greaseproof","representative","representative","kh-food-box-family-representative","pending-source","false","","Fried Chicken Box","食品白卡 / 牛皮纸","300g-400g","炸鸡、薯条、炸物拼盘"
"KH-BX-TRAY-300-PE-007","paper-insert","paper-insert-250g-350g-pe-coating-pe","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Food Paper Tray","食品白卡 / 牛皮纸","250g-350g","小吃、蛋糕、炸物"
"KH-BX-SLEEVE-250-PR-008","food-packaging-box","food-packaging-box-120g-250g-pe-coating","representative","representative","kh-food-box-family-representative","pending-source","false","","Food Paper Sleeve","食品纸 / 牛皮纸","120g-250g","杯套、汉堡套、三明治套"
"KH-PD-FOODPAD-080-OIL-009","food-packaging-box","food-packaging-box-40g-120g-pe-coating","representative","representative","kh-food-box-family-representative","pending-source","false","","Food Liner Paper","防油纸 / 食品纸","40g-120g","汉堡、披萨、蛋糕、炸物"
"KH-BX-BAKERY-350-PR-010","food-packaging-box","food-packaging-box-300g-400g","representative","representative","kh-food-box-family-representative","pending-source","false","","Bakery Packaging Box","食品白卡 / 牛皮纸","300g-400g","面包、饼干、甜点"
"KH-PD-CAKEPAD-350-MC-011","paper-pad","paper-pad-paper-pads-230g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Cake Pad","白卡 / 金卡 / 食品纸","230g-600g","蛋糕、甜点"
"KH-PD-PIZZAPAD-120-MC-012","paper-pad","paper-pad-paper-pads-80g-250g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Pizza Paper Pad","食品纸 / 瓦楞纸","80g-250g","披萨、烘焙食品"
"KH-PD-FOODPAD-150-OIL-013","paper-pad","paper-pad-paper-pads-80g-300g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Food Paper Pad","食品白卡 / 防油纸","80g-300g","食品隔垫、托盘垫"
"KH-PD-COSPAD-350-AS-014","paper-pad","paper-pad-paper-pads-300g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Cosmetic Paper Pad","白卡 / 黑卡 / 特种纸","300g-600g","瓶罐垫片、展示垫"
"KH-PD-ELECPAD-400-MC-015","paper-pad","paper-pad-paper-pads-300g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Electronics Paper Pad","白卡 / 瓦楞纸","300g-600g","配件垫片、缓冲隔板"
"KH-PD-GIFTPAD-350-EM-016","paper-pad","paper-pad-paper-pads-300g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Gift Box Inner Pad","白卡 / 黑卡 / 特种纸","300g-600g","礼盒内垫、隔板"
"KH-PD-SHOCKPAD-E-MT-017","paper-pad","paper-pad-paper-pads-e-f-g-flute-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Shock-absorbing Paper Pad","瓦楞纸 / 复合纸","E/F/G flute","缓冲垫、隔板"
"KH-PD-ROUND-300-MC-018","paper-pad","paper-pad-paper-pads-120g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Round Paper Pad","白卡 / 食品纸 / 特种纸","120g-600g","蛋糕垫、瓶罐垫、礼盒垫"
"KH-PD-SQUARE-300-MC-019","paper-pad","paper-pad-paper-pads-120g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Square Paper Pad","白卡 / 牛皮纸 / 瓦楞纸","120g-600g","隔板、托垫、内垫"
"KH-PD-DIECUT-300-MC-020","paper-pad","paper-pad-paper-pads-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Custom Die-cut Paper Pad","白卡 / 特种纸 / 瓦楞纸","按材质确认","特殊形状垫片、展示卡"
"KH-IN-COSINS-400-MC-021","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Cosmetic Paper Insert","白卡 / 黑卡 / 特种纸","300g-600g","瓶罐、套装、礼盒"
"KH-IN-PERFINS-400-AS-022","paper-insert","paper-insert-paper-inserts-350g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Perfume Paper Insert","黑卡 / 白卡 / 特种纸","350g-600g","香水瓶、礼盒内托"
"KH-IN-ELECINS-E-MT-023","paper-insert","paper-insert-paper-inserts-e-f-g-flute-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Electronics Paper Insert","瓦楞纸 / 白卡","E/F/G flute","耳机、充电器、小家电"
"KH-IN-GIFTINS-400-EM-024","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Gift Box Paper Insert","白卡 / 黑卡 / 特种纸","300g-600g","礼盒套装、组合产品"
"KH-IN-WINEINS-E-MT-025","paper-insert","paper-insert-paper-inserts-e-f-g-flute-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Wine Box Paper Insert","瓦楞纸 / 特种纸","E/F/G flute","酒瓶、杯具、礼盒"
"KH-IN-TEAINS-350-PR-026","paper-insert","paper-insert-paper-inserts-300g-500g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Tea Box Paper Insert","白卡 / 牛皮纸 / 特种纸","300g-500g","茶罐、茶包、套装"
"KH-IN-FOODINS-300-PE-027","paper-insert","paper-insert-paper-inserts-250g-400g-pe-coating-pe","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Food Paper Insert","食品白卡 / 牛皮纸","250g-400g","点心、巧克力、烘焙"
"KH-IN-CORGINS-E-MT-028","paper-insert","paper-insert-paper-inserts-e-f-g-flute-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Corrugated Paper Insert","瓦楞纸","E/F/G flute","缓冲内托、分隔托"
"KH-IN-WHITEINS-400-MC-029","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","White Cardboard Insert","白卡纸","300g-600g","瓶罐内托、礼盒内托"
"KH-IN-SPINS-350-UV-030","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating-uv","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Specialty Paper Insert","特种纸 / 黑卡","300g-600g","高端礼盒内托"
"KH-SF-DIECUT-350-MC-031","corrugated-fluted-paper","corrugated-fluted-paper","representative","representative","kh-corrugated-family-representative","pending-source","false","","Die-cut Semi-finished Sheet","白卡 / 牛皮纸 / 瓦楞纸","按材质确认","折叠盒片、盒坯"
"KH-SF-CREASE-350-CR-032","white-cardboard","white-cardboard","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Creased Semi-finished Sheet","白卡 / 牛皮纸","按材质确认","折叠盒片、纸套"
"KH-SF-LAMIN-E-MT-033","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-flute","representative","representative","kh-corrugated-family-representative","pending-source","false","","Laminated Semi-finished Sheet","面纸 + 瓦楞芯纸","E/F/G flute","盒片、面纸复合材料"
"KH-SF-FLUTESHT-E-CR-034","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-f-g-flute","representative","representative","kh-corrugated-family-representative","pending-source","false","","Corrugated Box Blank","白卡 / 牛皮 + E/F/G 坑","E/F/G flute","坑盒半成品"
"KH-SF-FOLDBL-350-CR-035","white-cardboard","white-cardboard-250g-450g","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Folding Box Blank","白卡 / 牛皮纸","250g-450g","折叠盒、纸套"
"KH-SF-COLORBL-350-PR-036","corrugated-fluted-paper","corrugated-fluted-paper-300g-450g","representative","representative","kh-corrugated-family-representative","pending-source","false","","Printed Color Box Blank","白卡 / 裱瓦楞纸","300g-450g","彩盒、展示盒"
"KH-SF-FOODBL-300-OIL-037","white-cardboard","white-cardboard-250g-400g-greaseproof","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Food Box Blank","食品级白卡 / 牛皮纸","250g-400g","食品盒、外卖盒"
"KH-SF-GIFTBL-400-EM-038","paper-insert","paper-insert","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Gift Box Semi-finished Sheet","特种纸 / 白卡 / 灰板面纸","按结构确认","礼盒面纸、内托、盒片"
