sku,slug,title_en,title_zh,category,productType,canonicalGroupId,imageStatus,dataStatus,mainImageAssetId,assetExactness,assetPermission,productLink,sourceDomain,sourceNotes
KH-CG-BOXFLUTE-E-CR-046,kh-cg-boxflute-e-cr-046-corrugated-box-semi-finished-sheet,Corrugated Box Semi-finished Sheet,包装盒坑纸半成品,瓦楞纸 / 坑纸系列,corrugated-fluted-paper,corrugated-fluted-paper-e-f-g-250g-e,representative,pending-source,kh-corrugated-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-GOLD-300-FG-047,kh-sp-gold-300-fg-047-gold-card-paper,Gold Card Paper,金卡纸,特种纸系列,paper-pad,paper-pad-300g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-SILVER-300-FS-048,kh-sp-silver-300-fs-048-silver-card-paper,Silver Card Paper,银卡纸,特种纸系列,paper-insert,paper-insert-300g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-LASER-250-UV-049,kh-sp-laser-250-uv-049-holographic-paper,Holographic Paper,镭射纸,特种纸系列,specialty-paper,specialty-paper-250g-pe-coating-uv,representative,pending-source,kh-specialty-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-PEARL-230-LM-050,kh-sp-pearl-230-lm-050-pearlescent-paper,Pearlescent Paper,珠光纸,特种纸系列,specialty-paper,specialty-paper-230g-pe-coating,representative,pending-source,kh-specialty-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-BLACK-350-AS-051,kh-sp-black-350-as-051-black-card-paper,Black Card Paper,黑卡纸,特种纸系列,paper-pad,paper-pad-350g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-COLOR-250-DC-052,kh-sp-color-250-dc-052-colored-specialty-paper,Colored Specialty Paper,彩色特种纸,特种纸系列,specialty-paper,specialty-paper-250g-pe-coating,representative,pending-source,kh-specialty-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-SECURE-200-AF-053,kh-sp-secure-200-af-053-anti-counterfeit-paper,Anti-counterfeit Paper,防伪纸,特种纸系列,specialty-paper,specialty-paper-200g-pe-coating,representative,pending-source,kh-specialty-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-ANTIS-300-AS-054,kh-sp-antis-300-as-054-anti-scratch-paper,Anti-scratch Paper,防刮花纸,特种纸系列,specialty-paper,specialty-paper-300g-pe-coating,representative,pending-source,kh-specialty-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-SCENT-180-SC-055,kh-sp-scent-180-sc-055-scented-paper,Scented Paper,留香纸,特种纸系列,specialty-paper,specialty-paper-180g-pe-coating,representative,pending-source,kh-specialty-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SP-SPFLUTE-300G-MT-056,kh-sp-spflute-300g-mt-056-specialty-paper-laminated-corrugated-paper,Specialty Paper Laminated Corrugated Paper,特种纸裱瓦楞纸,特种纸系列,paper-insert,paper-insert-300g-g-pe-coating-g-flute,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-BURGERBOX-300-MC-001,kh-bx-burgerbox-300-mc-001-burger-box,Burger Box,汉堡盒,食品包装盒,food-packaging-box,food-packaging-box-250g-350g-greaseproof,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-PIZZABOX-E-CR-002,kh-bx-pizzabox-e-cr-002-pizza-box,Pizza Box,披萨盒,食品包装盒,corrugated-fluted-paper,corrugated-fluted-paper-e-f-flute,representative,pending-source,kh-corrugated-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-CAKEBOX-350-LM-003,kh-bx-cakebox-350-lm-003-cake-box,Cake Box,蛋糕盒,食品包装盒,food-packaging-box,food-packaging-box-300g-400g,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-SANDWBOX-300-PR-004,kh-bx-sandwbox-300-pr-004-sandwich-box,Sandwich Box,三明治盒,食品包装盒,food-packaging-box,food-packaging-box-250g-350g,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-TAKEOUT-320-PE-005,kh-bx-takeout-320-pe-005-takeaway-food-box,Takeaway Food Box,外卖盒,食品包装盒,food-packaging-box,food-packaging-box-pe-300g-400g-pe-coating-pe,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-CHICKEN-350-PR-006,kh-bx-chicken-350-pr-006-fried-chicken-box,Fried Chicken Box,炸鸡盒,食品包装盒,food-packaging-box,food-packaging-box-300g-400g-greaseproof,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-TRAY-300-PE-007,kh-bx-tray-300-pe-007-food-paper-tray,Food Paper Tray,食品托盘,食品包装盒,paper-insert,paper-insert-250g-350g-pe-coating-pe,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-SLEEVE-250-PR-008,kh-bx-sleeve-250-pr-008-food-paper-sleeve,Food Paper Sleeve,食品纸套,食品包装盒,food-packaging-box,food-packaging-box-120g-250g-pe-coating,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-FOODPAD-080-OIL-009,kh-pd-foodpad-080-oil-009-food-liner-paper,Food Liner Paper,食品垫纸,食品包装盒,food-packaging-box,food-packaging-box-40g-120g-pe-coating,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-BX-BAKERY-350-PR-010,kh-bx-bakery-350-pr-010-bakery-packaging-box,Bakery Packaging Box,烘焙包装盒,食品包装盒,food-packaging-box,food-packaging-box-300g-400g,representative,pending-source,kh-food-box-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-CAKEPAD-350-MC-011,kh-pd-cakepad-350-mc-011-cake-pad,Cake Pad,蛋糕垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-230g-600g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-PIZZAPAD-120-MC-012,kh-pd-pizzapad-120-mc-012-pizza-paper-pad,Pizza Paper Pad,披萨垫纸,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-80g-250g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-FOODPAD-150-OIL-013,kh-pd-foodpad-150-oil-013-food-paper-pad,Food Paper Pad,食品垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-80g-300g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-COSPAD-350-AS-014,kh-pd-cospad-350-as-014-cosmetic-paper-pad,Cosmetic Paper Pad,化妆品垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-300g-600g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-ELECPAD-400-MC-015,kh-pd-elecpad-400-mc-015-electronics-paper-pad,Electronics Paper Pad,电子产品垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-300g-600g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-GIFTPAD-350-EM-016,kh-pd-giftpad-350-em-016-gift-box-inner-pad,Gift Box Inner Pad,礼盒内垫,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-300g-600g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-SHOCKPAD-E-MT-017,kh-pd-shockpad-e-mt-017-shock-absorbing-paper-pad,Shock-absorbing Paper Pad,防震纸垫,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-e-f-g-flute-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-ROUND-300-MC-018,kh-pd-round-300-mc-018-round-paper-pad,Round Paper Pad,圆形垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-120g-600g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-SQUARE-300-MC-019,kh-pd-square-300-mc-019-square-paper-pad,Square Paper Pad,方形垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-120g-600g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-PD-DIECUT-300-MC-020,kh-pd-diecut-300-mc-020-custom-die-cut-paper-pad,Custom Die-cut Paper Pad,异形模切垫片,纸垫片 / Paper Pads,paper-pad,paper-pad-paper-pads-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-COSINS-400-MC-021,kh-in-cosins-400-mc-021-cosmetic-paper-insert,Cosmetic Paper Insert,化妆品内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-300g-600g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-PERFINS-400-AS-022,kh-in-perfins-400-as-022-perfume-paper-insert,Perfume Paper Insert,香水内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-350g-600g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-ELECINS-E-MT-023,kh-in-elecins-e-mt-023-electronics-paper-insert,Electronics Paper Insert,电子产品内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-e-f-g-flute-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-GIFTINS-400-EM-024,kh-in-giftins-400-em-024-gift-box-paper-insert,Gift Box Paper Insert,礼盒内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-300g-600g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-WINEINS-E-MT-025,kh-in-wineins-e-mt-025-wine-box-paper-insert,Wine Box Paper Insert,酒盒内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-e-f-g-flute-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-TEAINS-350-PR-026,kh-in-teains-350-pr-026-tea-box-paper-insert,Tea Box Paper Insert,茶叶盒内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-300g-500g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-FOODINS-300-PE-027,kh-in-foodins-300-pe-027-food-paper-insert,Food Paper Insert,食品内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-250g-400g-pe-coating-pe,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-CORGINS-E-MT-028,kh-in-corgins-e-mt-028-corrugated-paper-insert,Corrugated Paper Insert,瓦楞内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-e-f-g-flute-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-WHITEINS-400-MC-029,kh-in-whiteins-400-mc-029-white-cardboard-insert,White Cardboard Insert,白卡内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-300g-600g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-IN-SPINS-350-UV-030,kh-in-spins-350-uv-030-specialty-paper-insert,Specialty Paper Insert,特种纸内托,纸内托 / Paper Inserts,paper-insert,paper-insert-paper-inserts-300g-600g-pe-coating-uv,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SF-DIECUT-350-MC-031,kh-sf-diecut-350-mc-031-die-cut-semi-finished-sheet,Die-cut Semi-finished Sheet,模切半成品,纸盒半成品,corrugated-fluted-paper,corrugated-fluted-paper,representative,pending-source,kh-corrugated-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-SF-CREASE-350-CR-032,kh-sf-crease-350-cr-032-creased-semi-finished-sheet,Creased Semi-finished Sheet,压痕半成品,纸盒半成品,white-cardboard,white-cardboard,representative,pending-source,kh-white-cardboard-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
